Latitude: 39.20743767, Longitude: 117.22636957, Heading: 61.23000000, Status: 2
Latitude: 39.20743798, Longitude: 117.22637036, Heading: 60.62000000, Status: 2
Latitude: 39.20743831, Longitude: 117.22637116, Heading: 60.02000000, Status: 2
Latitude: 39.20743864, Longitude: 117.22637196, Heading: 59.40000000, Status: 2
Latitude: 39.20743898, Longitude: 117.22637277, Heading: 58.78000000, Status: 2
Latitude: 39.20743933, Longitude: 117.22637357, Heading: 58.17000000, Status: 2
Latitude: 39.20743968, Longitude: 117.22637437, Heading: 57.61000000, Status: 2
Latitude: 39.20744005, Longitude: 117.22637517, Heading: 57.09000000, Status: 2
Latitude: 39.20744042, Longitude: 117.22637599, Heading: 56.59000000, Status: 2
Latitude: 39.20744080, Longitude: 117.22637680, Heading: 56.11000000, Status: 2
Latitude: 39.20744121, Longitude: 117.22637760, Heading: 55.64000000, Status: 2
Latitude: 39.20744160, Longitude: 117.22637840, Heading: 55.19000000, Status: 2
Latitude: 39.20744199, Longitude: 117.22637920, Heading: 54.74000000, Status: 2
Latitude: 39.20744237, Longitude: 117.22637999, Heading: 54.30000000, Status: 2
Latitude: 39.20744276, Longitude: 117.22638077, Heading: 53.87000000, Status: 2
Latitude: 39.20744315, Longitude: 117.22638156, Heading: 53.43000000, Status: 2
Latitude: 39.20744355, Longitude: 117.22638235, Heading: 53.03000000, Status: 2
Latitude: 39.20744395, Longitude: 117.22638311, Heading: 52.64000000, Status: 2
Latitude: 39.20744435, Longitude: 117.22638387, Heading: 52.25000000, Status: 2
Latitude: 39.20744475, Longitude: 117.22638461, Heading: 51.90000000, Status: 2
Latitude: 39.20744515, Longitude: 117.22638537, Heading: 51.54000000, Status: 2
Latitude: 39.20744556, Longitude: 117.22638609, Heading: 51.19000000, Status: 2
